"country_long","total_capacity","renewable_capacity","renewable_capacity_proportion"
"Swaziland","94.8","94.8","1.00000000000000000000"
"Suriname","5.0","5.0","1.00000000000000000000"
"Paraguay","8760.0","8760.0","1.00000000000000000000"
"Palestine","7.6","7.6","1.00000000000000000000"
"Lesotho","72.0","72.0","1.00000000000000000000"
"Nepal","587.95","587.95","1.00000000000000000000"
"Mozambique","2285.0","2285.0","1.00000000000000000000"
"Saint Lucia","3.0","3.0","1.00000000000000000000"
"Iceland","2484.6","2484.6","1.00000000000000000000"
"Ethiopia","4023.9","4023.9","1.00000000000000000000"
"Mali","311.5","311.5","1.00000000000000000000"
"Bhutan","1482.2","1482.2","1.00000000000000000000"
"Burundi","57.17","57.17","1.00000000000000000000"
"Democratic Republic of the Congo","3057.04","3018.8","0.98749116792714521236"
"Malawi","369.1","353.6","0.95800596044432403143"
"Norway","32551.0","31097.0","0.95533163343676077540"
"Albania","1529.0","1431.0","0.93590582079790712884"
"Uganda","772.5","722.5","0.93527508090614886731"
"Tajikistan","5296.4","4686.4","0.88482742995242051205"
"Afghanistan","300.55","258.55","0.86025619697221760106"
"Uruguay","4209.12","3557.66","0.84522655566959364428"
"Brazil","147589.2713300000006051","122985.5211300000004690","0.83329580816895818443"
"New Zealand","6674.55","5512.55","0.82590586631308477725"
"Zambia","2689.337","2219.737","0.82538447208363994546"
"Guinea","510.42","418.32","0.81956036205477841777"
"Liberia","73.3","60.0","0.81855388813096862210"
"Austria","11227.1","9160.1","0.81589190440986541493"
"Kyrgyzstan","3634.0","2910.0","0.80077050082553659879"
"Equatorial Guinea","150.5","120.0","0.79734219269102990033"
"Ecuador","4245.48","3304.32","0.77831481952570734051"
"Kenya","2485.9","1930.4","0.77653968381672633654"
"Luxembourg","1681.0","1296.0","0.77096966091612135634"
"Ghana","2108.0","1618.0","0.76755218216318785579"
"Fiji","317.38","243.4","0.76690402671875984624"
"Costa Rica","1968.40","1501.95","0.76303088803088803089"
"Montenegro","885.5","667.0","0.75324675324675324675"
"Switzerland","13118.00","9688.00","0.73852721451440768410"
"Angola","1071.18","770.6","0.71939356597397262832"
"Cameroon","881.58","630.2","0.71485287778760861181"
"Rwanda","193.68","136.1","0.70270549359768690624"
"Myanmar","3987.10","2775.2","0.69604474430036868902"
"Canada","143578.7","97385.3","0.67827121989543017175"
"Georgia","3831.4","2581.4","0.67374849924309651824"
"Panama","1633.2","1090.8","0.66789125642909625276"
"El Salvador","1418.5","943.3","0.66499823757490306662"
