"country","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","commissioning_year","owner","year_of_capacity_data"
"USA","100 Brook Hill Drive Solar","USA0063292","2.0",41.093,-73.9828,"Solar","2016.0","Diamond Properties",2019
"USA","1025 Traveller Solar  LLC","USA0062660","5.0",35.4273,-79.1263,"Solar","2019.0","CI-II Mitchell Holding LLC",2019
"USA","1047 Little Mountain Solar  LLC","USA0062661","3.0",36.1971,-80.8067,"Solar","2019.0","CI-II Mitchell Holding LLC",2019
"USA","12 Applegate Solar LLC","USA0059371","1.9",40.2003,-74.5761,"Solar","2012.0","G&S Solar Installers LLC",2019
"USA","126 Grove Solar LLC","USA0060858","2.0",42.0761,-71.4227,"Solar","2012.0","126 Grove Solar LLC",2019
"USA","1420 Coil Av #C","USA0057310","1.3",33.7943,-118.2414,"Solar","2011.0","Konoike Pacific",2019
"USA","145 Talmadge Solar","USA0057458","3.8",40.5358,-74.3913,"Solar","2011.0","Avidan Energy Solutions",2019
"USA","1515 S Caron Road","USA0007770","4.2",41.9084,-89.0466,"Gas","2000.0","Rochelle Municipal Utilities",2019
"USA","158th Fighter Wing Solar Farm","USA0060542","1.3",44.4777,-73.1534,"Solar","2011.0","158th Fighter Wing",2019
"USA","180 Raritan Solar","USA0058187","1.9",40.5161,-74.34,"Solar","2012.0","180 Raritan Energy Solutions  LLC",2019
"USA","191 Peachtree Tower","USA0054818","2.4",33.7583,-84.3869,"Oil","1991.0","Banyan St./GAP 191 Peachtree Owner  LLC",2019
"USA","201 Sturbridge B","USA0059822","2.0",42.1091,-72.1712,"Solar","2014.0","SE Solarne2 LLC",2019
"USA","205 Sturbridge A","USA0059821","3.0",42.1093,-72.1705,"Solar","2014.0","SH Solarne2 LLC",2019
"USA","2081 Terzian Solar Project","USA0058918","1.2",36.67,-119.4158,"Solar","2013.9999999999998","Solarenewal LLC",2019
"USA","2097 Helton Solar Project","USA0058920","1.5",37.3522,-120.5069,"Solar","2014.0","Solarenewal LLC",2019
"USA","2127 Harris Solar Project","USA0058919","1.3",39.2917,-121.6697,"Solar","2014.0000000000002","Solarenewal LLC",2019
"USA","231 Dixon 74 Solar I  LLC","USA0061195","2.0",35.2441,-81.4304,"Solar","2017.0","Soltage LLC",2019
"USA","232 Long Branch 29 Solar I  LLC","USA0063296","2.0",35.2322,-81.5597,"Solar","2018.0","Alchemy Renewable Energy",2019
"USA","24 Applegate Solar LLC","USA0059365","4.9",40.2058,-74.5797,"Solar","2014.0","Altus Power America Management  LLC",2019
"USA","25 Ashdown Road Solar  LLC","USA0062998","4.0",42.8826,-73.879,"Solar","2020.0","AES Distributed Energy",2019
"USA","2555 E Olympic Bl","USA0057871","1.0",34.0269,-118.2242,"Solar","2012.0","Los Angeles Department of Water & Power",2019
"USA","265 Pleasant Solar NG  LLC","USA0059485","2.2",42.5814,-71.7622,"Solar","2014.0","NuGen Capital Management",2019
"USA","301 Chestnut Solar NG","USA0061518","4.3",42.0552,-72.5218,"Solar","2017.0000000000002","301 Chestnut Solar NG  LLC",2019
"USA","350 Clark Solar  NG  LLC","USA0061224","1.8",40.8942,-74.7302,"Solar","2011.0","350 Clark Solar NG  LLC",2019
"USA","4 Applegate Solar LLC","USA0059370","1.8",40.1964,-74.5836,"Solar","2012.0","G&S Solar Installers LLC",2019
"USA","433 Purchase Solar NG  LLC","USA0061237","2.5",41.8094,-71.1922,"Solar","2012.0","433 Purchase Solar NG  LLC",2019
"USA","435A Bergen Avenue","USA0063366","1.4",40.7519,-74.1313,"Solar","2019.0","Hartz Solar LLC",2019
"USA","45 Mile Hydroelectric Project","USA0058455","3.0",44.5281,-121.1528,"Hydro","2015.0","EBD Hydro LLC",2019
"USA","46 Meadowlands Parkway","USA0062325","1.5",40.7898,-74.0715,"Solar","2018.0","Hartz Solar LLC",2019
"USA","4710 Hosting","USA0062162","7.5",44.0708,-92.5223,"Oil","2012.0","Epic Hosting  LLC",2019
"USA","4Oaks","USA0059534","5.0",35.4325,-78.4117,"Solar","2015.0","USF Surry LLC",2019
"USA","500 Virginia Solar","USA0057640","1.0",40.1392,-75.1917,"Solar","2011.0","500 Virginia Solar  LP",2019
"USA","510 REPP One","USA0057363","1.3",36.4972,-77.6058,"Solar","2014.0000000000002","510 REPP One LLC",2019
"USA","651 Chase Solar NG","USA0059046","2.5",42.6267,-71.7428,"Solar","2014.0","651 Chase Solar NG LLC",2019
"USA","74th Street","USA0002504","37.0",40.768,-73.9515,"Oil","1968.0","Consolidated Edison Co-NY Inc",2019
"USA","77 Metro Way","USA0062326","1.0",40.7705,-74.0722,"Solar","2018.0","Hartz Solar LLC",2019
"USA","85 A","USA0052162","14.1",35.1011,-118.3372,"Wind","1985.0","Tehachapi Wind Wall  LLC",2019
"USA","85 B","USA0052163","21.2",35.1011,-118.3372,"Wind","1985.0","Tehachapi Wind Wall  LLC",2019
"USA","99 Islands","USA0003272","12.0",35.0314,-81.4936,"Hydro","1910.0","Duke Energy Carolinas  LLC",2019
"USA","A G Wishon","USA0000293","12.8",37.151,-119.5047,"Hydro","1910.0","Pacific Gas & Electric Co.",2019
"USA","A.E.S. Corp.","WRI1026808","454.3",17.9474,-66.1494,"Coal","","AES Corporation",""
"USA","A.J. Mihm Generating Station","USA0061391","56.400000000000006",46.7927,-88.614,"Gas","2019.0","Upper Michigan Energy Resources Company",2019
"USA","ABC Coke","USA0056076","3.8",33.5828,-86.7799,"Gas","1997.0","Drummond Company  Inc.",2019
"USA","ABD Farms","USA0061525","5.0",35.7287,-79.7483,"Solar","2018.0","Cypress Creek Renewables",2019
"USA","ABEC #2 dba West-Star Dairy","USA0061501","1.0",35.4721,-119.4329,"Biomass","2018.0","ABEC #2 LLC",2019
